q0,q1,q2,q3,acc_x,acc_y,acc_z
1.0,-0.04,0.02,-0.0,0.24,-0.03,-0.24
1.0,-0.04,0.02,-0.0,0.24,0.13,-0.16
1.0,-0.04,0.02,-0.0,-0.13,0.21,-0.32
1.0,-0.04,0.02,-0.0,-0.1,-0.05,-0.5
1.0,-0.04,0.02,-0.0,0.06,0.04,-0.35
1.0,-0.04,0.02,-0.0,0.25,0.02,-0.24
1.0,-0.04,0.02,-0.0,0.25,-0.18,-0.4
1.0,-0.04,0.02,-0.0,0.04,-0.05,-0.3
1.0,-0.04,0.02,-0.0,-0.07,0.02,-0.49
1.0,-0.04,0.02,-0.0,-0.04,0.14,-0.48
1.0,-0.04,0.02,-0.0,0.05,0.06,-0.45
1.0,-0.04,0.02,-0.0,0.12,0.06,-0.34
1.0,-0.04,0.02,-0.0,0.18,-0.03,-0.22
1.0,-0.04,0.02,-0.0,0.17,-0.07,-0.36
1.0,-0.04,0.02,-0.0,0.03,0.16,-0.29
1.0,-0.04,0.02,-0.0,-0.04,0.03,-0.46
1.0,-0.04,0.02,-0.0,-0.08,0.13,-0.53
1.0,-0.04,0.02,-0.0,0.02,0.0,-0.36
1.0,-0.04,0.02,-0.0,0.12,-0.02,-0.38
1.0,-0.04,0.02,-0.0,0.27,0.06,-0.17
1.0,-0.04,0.02,-0.0,0.12,0.01,-0.38
1.0,-0.04,0.02,-0.0,-0.03,0.06,-0.38
1.0,-0.04,0.02,-0.0,-0.13,0.06,-0.4
1.0,-0.04,0.02,-0.0,0.01,0.14,-0.38
1.0,-0.04,0.02,-0.0,0.08,0.06,-0.35
1.0,-0.04,0.02,-0.0,0.2,-0.01,-0.34
1.0,-0.04,0.02,-0.0,0.15,-0.03,-0.24
1.0,-0.04,0.02,-0.0,0.11,0.0,-0.29
1.0,-0.04,0.02,-0.0,0.0,0.13,-0.42
1.0,-0.04,0.02,-0.0,-0.06,0.15,-0.39
1.0,-0.04,0.02,-0.0,-0.04,0.05,-0.48
1.0,-0.04,0.02,-0.0,0.09,0.0,-0.27
1.0,-0.04,0.02,-0.0,0.17,-0.07,-0.29
1.0,-0.04,0.02,-0.0,0.19,0.01,-0.32
1.0,-0.04,0.02,-0.0,0.09,0.1,-0.31
1.0,-0.04,0.02,-0.0,-0.08,0.09,-0.47
1.0,-0.04,0.02,-0.0,-0.1,0.06,-0.42
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.42
1.0,-0.04,0.02,-0.0,0.15,0.05,-0.26
1.0,-0.04,0.02,-0.0,0.2,0.0,-0.25
1.0,-0.04,0.02,-0.0,0.09,0.0,-0.36
1.0,-0.04,0.02,-0.0,-0.02,0.06,-0.31
1.0,-0.04,0.02,-0.0,-0.07,0.04,-0.48
1.0,-0.04,0.02,-0.0,-0.02,0.11,-0.38
1.0,-0.04,0.02,-0.0,0.08,0.0,-0.37
1.0,-0.04,0.02,-0.0,0.12,-0.04,-0.34
1.0,-0.04,0.02,-0.0,0.16,0.0,-0.25
1.0,-0.04,0.02,-0.0,0.05,0.04,-0.38
1.0,-0.04,0.02,-0.0,0.04,0.06,-0.39
1.0,-0.04,0.02,-0.0,-0.07,0.04,-0.47
1.0,-0.04,0.02,-0.0,-0.02,0.04,-0.4
1.0,-0.04,0.02,-0.0,0.1,0.03,-0.33
1.0,-0.04,0.02,-0.0,0.16,-0.02,-0.31
1.0,-0.04,0.02,-0.0,0.1,0.02,-0.29
1.0,-0.04,0.02,-0.0,0.06,-0.02,-0.38
1.0,-0.04,0.02,-0.0,-0.04,0.05,-0.42
1.0,-0.04,0.02,-0.0,-0.05,0.05,-0.44
1.0,-0.04,0.02,-0.0,-0.01,0.05,-0.44
1.0,-0.04,0.02,-0.0,0.13,0.0,-0.26
1.0,-0.04,0.02,-0.0,0.14,-0.05,-0.32
1.0,-0.04,0.02,-0.0,0.13,-0.01,-0.35
1.0,-0.04,0.02,-0.0,0.0,0.04,-0.36
1.0,-0.04,0.02,-0.0,-0.05,0.11,-0.41
1.0,-0.04,0.02,-0.0,-0.04,0.08,-0.41
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.42
1.0,-0.04,0.02,-0.0,0.13,-0.01,-0.27
1.0,-0.04,0.02,-0.0,0.14,-0.03,-0.28
1.0,-0.04,0.02,-0.0,0.08,0.05,-0.33
1.0,-0.04,0.02,-0.0,-0.01,0.06,-0.38
1.0,-0.04,0.02,-0.0,-0.07,0.04,-0.46
1.0,-0.04,0.02,-0.0,-0.03,0.07,-0.37
1.0,-0.04,0.02,-0.0,0.07,0.0,-0.35
1.0,-0.04,0.02,-0.0,0.17,0.0,-0.31
1.0,-0.04,0.02,-0.0,0.14,0.02,-0.26
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.39
1.0,-0.04,0.02,-0.0,-0.03,0.07,-0.39
1.0,-0.04,0.02,-0.0,-0.04,0.05,-0.41
1.0,-0.04,0.02,-0.0,0.06,0.08,-0.36
1.0,-0.04,0.02,-0.0,0.08,0.03,-0.33
1.0,-0.04,0.02,-0.0,0.13,-0.02,-0.31
1.0,-0.04,0.02,-0.0,0.1,0.0,-0.28
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.39
1.0,-0.04,0.02,-0.0,-0.03,0.1,-0.39
1.0,-0.04,0.02,-0.0,-0.03,0.03,-0.43
1.0,-0.04,0.02,-0.0,0.01,0.01,-0.38
1.0,-0.04,0.02,-0.0,0.1,0.0,-0.33
1.0,-0.04,0.02,-0.0,0.15,0.01,-0.29
1.0,-0.04,0.02,-0.0,0.1,0.05,-0.32
1.0,-0.04,0.02,-0.0,-0.01,0.03,-0.39
1.0,-0.04,0.02,-0.0,-0.05,0.06,-0.42
1.0,-0.04,0.02,-0.0,-0.03,0.06,-0.4
1.0,-0.04,0.02,-0.0,0.08,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.14,0.0,-0.29
1.0,-0.04,0.02,-0.0,0.1,-0.01,-0.32
1.0,-0.04,0.02,-0.0,0.01,0.01,-0.36
1.0,-0.04,0.02,-0.0,-0.05,0.06,-0.43
1.0,-0.04,0.02,-0.0,-0.04,0.07,-0.43
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.36
1.0,-0.04,0.02,-0.0,0.1,-0.01,-0.37
1.0,-0.04,0.02,-0.0,0.11,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.07,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.03,0.06,-0.38
1.0,-0.04,0.02,-0.0,-0.04,0.07,-0.4
1.0,-0.04,0.02,-0.0,-0.05,0.04,-0.43
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.1,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.13,0.0,-0.31
1.0,-0.04,0.02,-0.0,0.06,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.0,0.02,-0.42
1.0,-0.04,0.02,-0.0,-0.04,0.08,-0.39
1.0,-0.04,0.02,-0.0,0.0,0.08,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.1,0.0,-0.32
1.0,-0.04,0.02,-0.0,0.07,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.0,0.04,-0.39
1.0,-0.04,0.02,-0.0,-0.01,0.05,-0.39
1.0,-0.04,0.02,-0.0,-0.01,0.04,-0.4
1.0,-0.04,0.02,-0.0,0.08,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.12,0.0,-0.31
1.0,-0.04,0.02,-0.0,0.12,-0.01,-0.33
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.33
1.0,-0.04,0.02,-0.0,-0.05,0.03,-0.42
1.0,-0.04,0.02,-0.0,-0.05,0.05,-0.43
1.0,-0.04,0.02,-0.0,0.03,0.03,-0.34
1.0,-0.04,0.02,-0.0,0.11,0.0,-0.32
1.0,-0.04,0.02,-0.0,0.13,0.0,-0.32
1.0,-0.04,0.02,-0.0,0.05,0.0,-0.35
1.0,-0.04,0.02,-0.0,0.0,0.06,-0.38
1.0,-0.04,0.02,-0.0,-0.02,0.08,-0.39
1.0,-0.04,0.02,-0.0,0.0,0.07,-0.39
1.0,-0.04,0.02,-0.0,0.06,0.03,-0.33
1.0,-0.04,0.02,-0.0,0.11,-0.01,-0.33
1.0,-0.04,0.02,-0.0,0.1,0.02,-0.29
1.0,-0.04,0.02,-0.0,0.02,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.0,0.08,-0.38
1.0,-0.04,0.02,-0.0,-0.02,0.05,-0.38
1.0,-0.04,0.02,-0.0,0.03,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.12,0.0,-0.32
1.0,-0.04,0.02,-0.0,0.08,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.38
1.0,-0.04,0.02,-0.0,-0.02,0.05,-0.41
1.0,-0.04,0.02,-0.0,0.0,0.05,-0.39
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.39
1.0,-0.04,0.02,-0.0,0.09,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.08,0.01,-0.34
1.0,-0.04,0.02,-0.0,0.07,0.0,-0.35
1.0,-0.04,0.02,-0.0,0.01,0.04,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.08,-0.39
1.0,-0.04,0.02,-0.0,-0.01,0.07,-0.41
1.0,-0.04,0.02,-0.0,0.04,0.01,-0.32
1.0,-0.04,0.02,-0.0,0.1,0.0,-0.33
1.0,-0.04,0.02,-0.0,0.09,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.07,0.03,-0.36
1.0,-0.04,0.02,-0.0,-0.02,0.04,-0.4
1.0,-0.04,0.02,-0.0,-0.04,0.05,-0.44
1.0,-0.04,0.02,-0.0,0.03,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.1,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.08,0.01,-0.33
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.01,0.01,-0.38
1.0,-0.04,0.02,-0.0,-0.02,0.04,-0.43
1.0,-0.04,0.02,-0.0,0.0,0.04,-0.38
1.0,-0.04,0.02,-0.0,0.05,0.01,-0.34
1.0,-0.04,0.02,-0.0,0.08,0.01,-0.35
1.0,-0.04,0.02,-0.0,0.09,0.01,-0.33
1.0,-0.04,0.02,-0.0,0.03,0.05,-0.35
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.0,0.06,-0.37
1.0,-0.04,0.02,-0.0,0.01,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.01,-0.39
1.0,-0.04,0.02,-0.0,0.08,0.03,-0.32
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.39
1.0,-0.04,0.02,-0.0,0.0,0.05,-0.39
1.0,-0.04,0.02,-0.0,0.0,0.06,-0.4
1.0,-0.04,0.02,-0.0,0.02,0.06,-0.38
1.0,-0.04,0.02,-0.0,0.08,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.08,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.05,0.01,-0.37
1.0,-0.04,0.02,-0.0,0.01,0.01,-0.34
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.38
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.06,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.05,-0.35
1.0,-0.04,0.02,-0.0,0.01,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.39
1.0,-0.04,0.02,-0.0,0.01,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.01,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.02,-0.39
1.0,-0.04,0.02,-0.0,0.03,0.06,-0.38
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.06,0.01,-0.38
1.0,-0.04,0.02,-0.0,0.06,0.01,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.34
1.0,-0.04,0.02,-0.0,0.01,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.05,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.39
1.0,-0.04,0.02,-0.0,0.08,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.05,-0.36
1.0,-0.04,0.02,-0.0,0.02,0.04,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.39
1.0,-0.04,0.02,-0.0,0.05,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.09,0.01,-0.31
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.03,0.06,-0.35
1.0,-0.04,0.02,-0.0,-0.02,0.05,-0.39
1.0,-0.04,0.02,-0.0,-0.01,0.04,-0.43
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.08,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.09,0.01,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.34
1.0,-0.04,0.02,-0.0,-0.01,0.04,-0.38
1.0,-0.04,0.02,-0.0,-0.01,0.06,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.06,-0.38
1.0,-0.04,0.02,-0.0,0.09,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.09,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.08,0.01,-0.34
1.0,-0.04,0.02,-0.0,0.01,0.02,-0.37
1.0,-0.04,0.02,-0.0,-0.01,0.05,-0.4
1.0,-0.04,0.02,-0.0,0.0,0.07,-0.38
1.0,-0.04,0.02,-0.0,0.02,0.06,-0.38
1.0,-0.04,0.02,-0.0,0.07,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.08,-0.01,-0.31
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.38
1.0,-0.04,0.02,-0.0,-0.01,0.07,-0.4
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.01,-0.38
1.0,-0.04,0.02,-0.0,0.08,-0.01,-0.35
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.05,0.05,-0.36
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.38
1.0,-0.04,0.02,-0.0,-0.03,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.0,0.02,-0.4
1.0,-0.04,0.02,-0.0,0.08,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.0,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.06,-0.35
1.0,-0.04,0.02,-0.0,0.01,0.05,-0.39
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.07,0.0,-0.33
1.0,-0.04,0.02,-0.0,0.05,0.0,-0.36
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.06,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.07,-0.38
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.34
1.0,-0.04,0.02,-0.0,0.0,0.04,-0.39
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.08,0.05,-0.36
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.03,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.02,0.03,-0.41
1.0,-0.04,0.02,-0.0,0.01,0.05,-0.35
1.0,-0.04,0.02,-0.0,0.02,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.07,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.04,0.07,-0.35
1.0,-0.04,0.02,-0.0,-0.01,0.02,-0.42
1.0,-0.04,0.02,-0.0,-0.01,0.01,-0.39
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.34
1.0,-0.04,0.02,-0.0,0.09,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.09,0.06,-0.34
1.0,-0.04,0.02,-0.0,0.01,0.01,-0.37
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.4
1.0,-0.04,0.02,-0.0,0.01,0.04,-0.38
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.01,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.0,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.01,0.06,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.05,-0.39
1.0,-0.04,0.02,-0.0,0.02,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.06,0.0,-0.36
1.0,-0.04,0.02,-0.0,0.08,0.03,-0.33
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.35
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.04,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.07,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.03,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.06,0.0,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.01,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.03,0.06,-0.36
1.0,-0.04,0.02,-0.0,0.0,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.01,0.04,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.04,0.05,-0.33
1.0,-0.04,0.02,-0.0,0.06,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.39
1.0,-0.04,0.02,-0.0,0.01,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.0,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.36
1.0,-0.04,0.02,-0.0,0.04,0.05,-0.38
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.05,-0.38
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.07,0.0,-0.36
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.06,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.02,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.03,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.0,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.01,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.03,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.0,-0.36
1.0,-0.04,0.02,-0.0,0.03,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.04,-0.39
1.0,-0.04,0.02,-0.0,0.02,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.32
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.33
1.0,-0.04,0.02,-0.0,0.01,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.0,-0.32
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.04,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.05,-0.39
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.33
1.0,-0.04,0.02,-0.0,0.01,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.39
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.06,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.06,-0.36
1.0,-0.04,0.02,-0.0,0.01,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.02,0.05,-0.32
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.01,-0.36
1.0,-0.04,0.02,-0.0,0.03,0.05,-0.36
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.39
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.0,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.05,-0.34
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.05,-0.34
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.02,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.35
1.0,-0.04,0.02,-0.0,0.05,0.06,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.34
1.0,-0.04,0.02,-0.0,0.02,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.05,0.04,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.04,-0.36
1.0,-0.04,0.02,-0.0,0.01,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.03,0.03,-0.4
1.0,-0.04,0.02,-0.0,0.05,0.03,-0.33
1.0,-0.04,0.02,-0.0,0.04,0.02,-0.33
1.0,-0.04,0.02,-0.0,0.04,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.03,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.37
1.0,-0.04,0.02,-0.0,0.01,0.03,-0.36
1.0,-0.04,0.02,-0.0,0.07,0.02,-0.35
1.0,-0.04,0.02,-0.0,0.09,0.04,-0.34
1.0,-0.04,0.02,-0.0,0.05,0.02,-0.38
1.0,-0.04,0.02,-0.0,0.01,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.02,0.03,-0.38
1.0,-0.04,0.02,-0.0,0.03,0.04,-0.35
1.0,-0.04,0.02,-0.0,0.02,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.0,0.02,-0.37
1.0,-0.04,0.02,-0.0,0.05,0.01,-0.38
1.0,-0.04,0.02,-0.0,0.09,0.04,-0.3
1.0,-0.04,0.02,-0.0,0.09,0.01,-0.34
1.0,-0.04,0.02,-0.0,0.04,-0.01,-0.4
1.0,-0.04,0.02,-0.0,0.0,0.07,-0.38
1.0,-0.04,0.02,-0.0,-0.03,0.08,-0.39
1.0,-0.04,0.02,-0.0,0.0,0.02,-0.36
1.0,-0.04,0.02,-0.0,0.12,0.03,-0.37
1.0,-0.04,0.02,-0.0,0.0,-0.16,-0.24
1.0,-0.04,0.02,-0.0,0.0,-0.13,-0.34
1.0,-0.04,0.02,-0.0,0.16,0.13,-0.39
1.0,-0.04,0.02,-0.0,-0.17,0.08,-0.32
